#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	6392359	6413292	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=6392359&end=6413292
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	6465201	6517523	t1pks hgle-ks hybrid	false	heterocyst glycolipids	100	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=6465201&end=6517523
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	6853598	6875518	rre-containing spliceotide hybrid	false	PcpA	33	BGC0001733	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=6853598&end=6875518
Nostoc	commune	NIES-4072	NZ_BDUD01000002.1	720131	762430	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000002.1&start=720131&end=762430
Pseudanabaena	Unknown	ABRG5-3	NZ_AP017560.1	2248711	2291129	nrps-like	false	vicenistatin	10	BGC0002634	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP017560.1&start=2248711&end=2291129
Pseudanabaena	Unknown	ABRG5-3	NZ_AP017560.1	4003850	4024738	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP017560.1&start=4003850&end=4024738
Pseudanabaena	Unknown	ABRG5-3	NZ_AP017560.1	4109841	4150966	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP017560.1&start=4109841&end=4150966
Pseudanabaena	Unknown	ABRG5-3	NZ_AP017565.1	38576	94787	nrp-metallophore t1pks nrps hybrid	false	anachelin	50	BGC0002532	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP017565.1&start=38576&end=94787
Pseudanabaena	Unknown	ABRG5-3	NZ_AP017566.1	20462	110280	nrps-like nrps t1pks hybrid	false	hapalosin	60	BGC0001467	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP017566.1&start=20462&end=110280
Richelia	sinica	FACHB 800	NZ_CP021056.1	273321	319144	t1pks	false	calicheamicin	6	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=273321&end=319144
Richelia	sinica	FACHB 800	NZ_CP021056.1	386332	407163	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=386332&end=407163
Richelia	sinica	FACHB 800	NZ_CP021056.1	608566	661199	t1pks hgle-ks hybrid	false	heterocyst glycolipids	71	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=608566&end=661199
Richelia	sinica	FACHB 800	NZ_CP021056.1	1098046	1140346	lanthipeptide-class-v rre-containing spliceotide hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=1098046&end=1140346
Richelia	sinica	FACHB 800	NZ_CP021056.1	1428905	1449691	hserlactone	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=1428905&end=1449691
Richelia	sinica	FACHB 800	NZ_CP021056.1	1527725	1570097	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=1527725&end=1570097
Richelia	sinica	FACHB 800	NZ_CP021056.1	1863931	1884864	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=1863931&end=1884864
Richelia	sinica	FACHB 800	NZ_CP021056.1	2366890	2410416	terpene lanthipeptide-class-v hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=2366890&end=2410416
Richelia	sinica	FACHB 800	NZ_CP021056.1	3171419	3214122	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=3171419&end=3214122
Richelia	sinica	FACHB 800	NZ_CP021056.1	3553794	3576694	lassopeptide rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=3553794&end=3576694
Richelia	sinica	FACHB 800	NZ_CP021056.1	3759041	3839199	nrps t1pks nrp-metallophore hybrid	false	nostophycin	27	BGC0001029	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=3759041&end=3839199
Richelia	sinica	FACHB 800	NZ_CP021056.1	4833398	4856037	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=4833398&end=4856037
Richelia	sinica	FACHB 800	NZ_CP021056.1	5075009	5118258	nrps-like	false	minutissamide A/minutissamide C/minutissamide D	15	BGC0001952	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=5075009&end=5118258
Richelia	sinica	FACHB 800	NZ_CP021056.1	5385371	5432196	hgle-ks	false	heterocyst glycolipids	42	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=5385371&end=5432196
Richelia	sinica	FACHB 800	NZ_CP021056.1	5690100	5712395	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP021056.1&start=5690100&end=5712395
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	50844	97099	mycosporine-like nrps-like hybrid	false	shinorine/4-deoxygadusol/mycosporine glycine	100	BGC0000427	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=50844&end=97099
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	937415	1014106	t1pks nrp-metallophore nrps hybrid	false	anachelin	70	BGC0002532	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=937415&end=1014106
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	1722711	1765447	nrps-like	false	cylindrospermopsin	12	BGC0000981	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=1722711&end=1765447
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	1868296	1890207	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=1868296&end=1890207
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2329541	2371813	lanthipeptide-class-v spliceotide rre-containing hybrid	false	PcpA	33	BGC0001733	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2329541&end=2371813
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2508386	2537694	lap thiopeptide hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2508386&end=2537694
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2769069	2789900	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2769069&end=2789900
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2866758	2900150	betalactone	false	1-heptadecene	100	BGC0001164	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2866758&end=2900150
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2930486	2951419	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2930486&end=2951419
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	2960514	3002884	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=2960514&end=3002884
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	4805415	4847800	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=4805415&end=4847800
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	5365132	5411942	t1pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=5365132&end=5411942
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	5772450	5830442	t1pks nrps nrps-like hybrid	false	nostophycin	27	BGC0001029	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=5772450&end=5830442
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	6066074	6088823	lassopeptide rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=6066074&end=6088823
Nostoc	Unknown	TCL26-01	NZ_CP040297.1	6541182	6593542	t1pks hgle-ks hybrid	false	heterocyst glycolipids	85	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP040297.1&start=6541182&end=6593542
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000011.1	62329	83259	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000011.1&start=62329&end=83259
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000016.1	26369	72696	nrps lanthipeptide-class-ii hybrid	false	nostolysamide A/nostolysamide B	33	BGC0002699	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000016.1&start=26369&end=72696
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000004.1	86021	107781	spliceotide	false	PcpA	33	BGC0001733	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000004.1&start=86021&end=107781
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000056.1	0	29029	t1pks	true	puwainaphycin A/puwainaphycin B/puwainaphycin C/puwainaphycin D	60	BGC0001125	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000056.1&start=0&end=29029
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000006.1	16729	84205	rre-containing lassopeptide t1pks hybrid	false	sporolide A/sporolide B	8	BGC0000150	https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000006.1&start=16729&end=84205
Leptothoe	spongobia	TAU-MAC 1115	NZ_JADOES010000007.1	0	25909	nrps-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JADOES010000007.1&start=0&end=25909
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	126868	185357	nrps nrps-like hybrid	false	aeruginoside 126B/aeruginoside 126A	70	BGC0000297	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=126868&end=185357
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	498120	568408	betalactone nrps hybrid	false	anabaenopeptin NZ857/nostamide A	77	BGC0001479	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=498120&end=568408
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	1289558	1310485	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=1289558&end=1310485
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	1392829	1413648	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=1392829&end=1413648
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	2773968	2795918	terpene	false	anacyclamide A10	14	BGC0000472	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=2773968&end=2795918
Planktothrix	Unknown	PCC7805	NZ_LR882950.1	3019517	3052416	cyanobactin	false	prenylagaramide B/prenylagaramide C	91	BGC0000479	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882950.1&start=3019517&end=3052416
Planktothrix	Unknown	PCC7805	NZ_LR882951.1	53009	109653	nrps t1pks hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR882951.1&start=53009&end=109653
Gloeobacter	violaceus	PCC 7421	NC_005125.1	1360647	1395001	thiopeptide thioamitides hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=1360647&end=1395001
Gloeobacter	violaceus	PCC 7421	NC_005125.1	1837321	1858185	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=1837321&end=1858185
Gloeobacter	violaceus	PCC 7421	NC_005125.1	2013657	2036345	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=2013657&end=2036345
Gloeobacter	violaceus	PCC 7421	NC_005125.1	2044878	2120787	t1pks transat-pks-like hgle-ks hybrid	false	rakicidin A/rakicidin B	20	BGC0001327	https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=2044878&end=2120787
Gloeobacter	violaceus	PCC 7421	NC_005125.1	2657693	2698797	arylpolyene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=2657693&end=2698797
Gloeobacter	violaceus	PCC 7421	NC_005125.1	2991065	3057839	t1pks hgle-ks butyrolactone hybrid	false	heterocyst glycolipids	42	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=2991065&end=3057839
Gloeobacter	violaceus	PCC 7421	NC_005125.1	4241198	4264383	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=4241198&end=4264383
Gloeobacter	violaceus	PCC 7421	NC_005125.1	4406531	4460489	hgle-ks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_005125.1&start=4406531&end=4460489
Rivularia	Unknown	PCC 7116	NC_019678.1	55558	98025	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=55558&end=98025
Rivularia	Unknown	PCC 7116	NC_019678.1	145737	189379	mycosporine-like	false	shinorine/4-deoxygadusol/mycosporine glycine	75	BGC0000427	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=145737&end=189379
Rivularia	Unknown	PCC 7116	NC_019678.1	225192	267554	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=225192&end=267554
Rivularia	Unknown	PCC 7116	NC_019678.1	434863	455205	microviridin	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=434863&end=455205
Rivularia	Unknown	PCC 7116	NC_019678.1	585352	608019	rre-containing lassopeptide hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=585352&end=608019
Rivularia	Unknown	PCC 7116	NC_019678.1	2685778	2739131	t1pks hgle-ks hybrid	false	heterocyst glycolipids	71	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=2685778&end=2739131
Rivularia	Unknown	PCC 7116	NC_019678.1	4286770	4307106	microviridin	false	microviridin N9/microviridin N8/microviridin N7/microviridin N6/microviridin N5/microviridin N4/microviridin N3	33	BGC0002049	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=4286770&end=4307106
Rivularia	Unknown	PCC 7116	NC_019678.1	4929457	4970693	t3pks	false	violacein	40	BGC0000829	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=4929457&end=4970693
Rivularia	Unknown	PCC 7116	NC_019678.1	5241220	5262156	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=5241220&end=5262156
Rivularia	Unknown	PCC 7116	NC_019678.1	5653267	5673585	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=5653267&end=5673585
Rivularia	Unknown	PCC 7116	NC_019678.1	5989242	6009449	proteusin	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=5989242&end=6009449
Rivularia	Unknown	PCC 7116	NC_019678.1	6062340	6085745	indole	false	tjipanazole D/tjipanazole I/tjipanazole L/tjipanazole K/tjipanazole M	20	BGC0002482	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=6062340&end=6085745
Rivularia	Unknown	PCC 7116	NC_019678.1	6917989	6945664	lassopeptide rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=6917989&end=6945664
Rivularia	Unknown	PCC 7116	NC_019678.1	7756922	7839108	nrps nrp-metallophore t1pks nrps-like hybrid	false	cyanochelin A	100	BGC0002411	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=7756922&end=7839108
Rivularia	Unknown	PCC 7116	NC_019678.1	7918194	7941458	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=7918194&end=7941458
Rivularia	Unknown	PCC 7116	NC_019678.1	8012125	8051820	cyanobactin thiopeptide redox-cofactor hybrid	false	patellamide A/patellamide C	62	BGC0000475	https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=8012125&end=8051820
Rivularia	Unknown	PCC 7116	NC_019678.1	8485888	8529152	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019678.1&start=8485888&end=8529152
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	236480	278924	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=236480&end=278924
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	472444	495433	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=472444&end=495433
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	774294	798004	lap	false	muscoride A/muscoride B	20	BGC0002551	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=774294&end=798004
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	1920069	1943390	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=1920069&end=1943390
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	2237853	2280212	spliceotide rre-containing lanthipeptide-class-v hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=2237853&end=2280212
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	3157035	3177923	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=3157035&end=3177923
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	3212398	3254888	lanthipeptide-class-v	false	TP-1161	8	BGC0000615	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=3212398&end=3254888
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	3474625	3496596	cyanobactin	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=3474625&end=3496596
Pseudanabaena	Unknown	PCC 6802	NZ_KB235914.1	4455927	4497874	resorcinol	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB235914.1&start=4455927&end=4497874
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000001.1	686267	743518	t1pks	false	anatoxin-a/homoanatoxin-a	53	BGC0000017	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000001.1&start=686267&end=743518
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000001.1	838607	859540	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000001.1&start=838607&end=859540
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000001.1	1207104	1249609	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000001.1&start=1207104&end=1249609
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000001.1	1466730	1535301	hgle-ks nrps t1pks hybrid	false	heterocyst glycolipids	85	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000001.1&start=1466730&end=1535301
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000001.1	1725366	1767553	nrps-like	false	ambiguine P	6	BGC0001501	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000001.1&start=1725366&end=1767553
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000003.1	462468	504730	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000003.1&start=462468&end=504730
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000003.1	939156	978240	lap thiopeptide hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000003.1&start=939156&end=978240
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000004.1	418375	465257	hgle-ks	false	heterocyst glycolipids	57	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000004.1&start=418375&end=465257
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000004.1	645396	674579	resorcinol	true	bartoloside 2/bartoloside 3/bartoloside 4	36	BGC0001525	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000004.1&start=645396&end=674579
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000005.1	402887	480844	t1pks nrps hybrid	false	cusperin	18	BGC0001564	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000005.1&start=402887&end=480844
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000006.1	235691	256522	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000006.1&start=235691&end=256522
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000006.1	412707	443356	cyanobactin	false	anacyclamide A10	78	BGC0000472	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000006.1&start=412707&end=443356
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000006.1	597650	610990	terpene	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000006.1&start=597650&end=610990
Dolichospermum	flos-aquae	UHCC 0037	NZ_VILF01000002.1	191392	236027	nrps-like	false	melithiazol A	10	BGC0001010	https://antismash-db.secondarymetabolites.org/area?record=NZ_VILF01000002.1&start=191392&end=236027
Sodalinema	gerasimenkoae	IPPAS B-353	NZ_ML776472.1	316246	358904	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_ML776472.1&start=316246&end=358904
Sodalinema	gerasimenkoae	IPPAS B-353	NZ_ML776472.1	1818224	1839154	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_ML776472.1&start=1818224&end=1839154
Sodalinema	gerasimenkoae	IPPAS B-353	NZ_ML776472.1	2918979	2939906	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_ML776472.1&start=2918979&end=2939906
Sodalinema	gerasimenkoae	IPPAS B-353	NZ_ML776472.1	3340935	3362858	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_ML776472.1&start=3340935&end=3362858
Sodalinema	gerasimenkoae	IPPAS B-353	NZ_ML776472.1	4623314	4644124	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_ML776472.1&start=4623314&end=4644124
Nostoc	Unknown	UHCC 0702	NZ_CP071065.1	3106	66734	nrps-like t1pks terpene hybrid	false	minutissamide A/minutissamide C/minutissamide D	38	BGC0001952	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP071065.1&start=3106&end=66734
Nostoc	Unknown	UHCC 0702	NZ_CP071065.1	503696	548223	t1pks	false	nocuolactylates	33	BGC0002597	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP071065.1&start=503696&end=548223
Nostoc	Unknown	UHCC 0702	NZ_CP071065.1	799285	821586	lap	false	muscoride A/muscoride B	18	BGC0002485	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP071065.1&start=799285&end=821586
Nostoc	Unknown	UHCC 0702	NZ_CP071065.1	1373545	1417029	mycosporine-like	false	shinorine/4-deoxygadusol/mycosporine glycine	75	BGC0000427	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP071065.1&start=1373545&end=1417029
